"","County.x","Antlered.Buck","Button.Buck","Doe","Total","huntType","county_clean","County.y","Population","Area_sq_mi","GEOID"
"139","Clinton",3,0,1,4,"Managed Hunt","clinton","Clinton",21721,419,"29049"
"140","Cole",3,1,2,6,"Managed Hunt","cole","Cole",77625,392,"29051"
"141","Cooper",0,0,1,1,"Managed Hunt","cooper","Cooper",17122,565,"29053"
"142","Crawford",1,0,0,1,"Managed Hunt","crawford","Crawford",22808,743,"29055"
"143","Dade",1,0,1,2,"Managed Hunt","dade","Dade",7622,490,"29057"
"144","Dallas",0,0,0,0,"Managed Hunt","dallas","Dallas",17877,542,"29059"
"145","Daviess",1,0,0,1,"Managed Hunt","daviess","Daviess",8541,567,"29061"
"146","Dekalb",0,0,0,0,"Managed Hunt","dekalb","DeKalb",9884,424,"29063"
"147","Dent",0,0,0,0,"Managed Hunt","dent","Dent",14721,754,"29065"
"148","Douglas",0,0,1,1,"Managed Hunt","douglas","Douglas",12290,815,"29067"
"149","Dunklin",0,0,0,0,"Managed Hunt","dunklin","Dunklin",27002,546,"29069"
"150","Franklin",7,5,37,49,"Managed Hunt","franklin","Franklin",107256,922,"29071"
"151","Gasconade",1,0,0,1,"Managed Hunt","gasconade","Gasconade",14655,520,"29073"
"152","Gentry",1,0,0,1,"Managed Hunt","gentry","Gentry",6298,492,"29075"
"153","Greene",9,7,23,39,"Managed Hunt","greene","Greene",307942,675,"29077"
"154","Grundy",1,1,12,14,"Managed Hunt","grundy","Grundy",9766,436,"29079"
"155","Harrison",0,0,0,0,"Managed Hunt","harrison","Harrison",8186,725,"29081"
"156","Henry",0,3,2,5,"Managed Hunt","henry","Henry",22575,702,"29083"
"157","Hickory",1,2,9,12,"Managed Hunt","hickory","Hickory",8766,399,"29085"
"158","Holt",3,0,2,5,"Managed Hunt","holt","Holt",4241,462,"29087"
"159","Howard",0,3,8,11,"Managed Hunt","howard","Howard",10150,466,"29089"
"160","Howell",1,0,1,2,"Managed Hunt","howell","Howell",40762,928,"29091"
"161","Iron",0,0,0,0,"Managed Hunt","iron","Iron",9420,551,"29093"
"162","Jackson",118,41,416,575,"Managed Hunt","jackson","Jackson",727362,605,"29095"
"163","Jasper",0,0,0,0,"Managed Hunt","jasper","Jasper",126479,640,"29097"
"164","Jefferson",2,0,4,6,"Managed Hunt","jefferson","Jefferson",231888,657,"29099"
"165","Johnson",23,35,82,140,"Managed Hunt","johnson","Johnson",55880,831,"29101"
"166","Knox",0,0,0,0,"Managed Hunt","knox","Knox",3740,506,"29103"
"167","Laclede",0,0,0,0,"Managed Hunt","laclede","Laclede",36738,766,"29105"
"168","Lafayette",0,0,2,2,"Managed Hunt","lafayette","Lafayette",33511,629,"29107"
"169","Lawrence",0,0,0,0,"Managed Hunt","lawrence","Lawrence",39151,613,"29109"
"170","Lewis",1,0,0,1,"Managed Hunt","lewis","Lewis",9852,505,"29111"
"171","Lincoln",19,10,41,70,"Managed Hunt","lincoln","Lincoln",65888,630,"29113"
"172","Linn",0,15,19,34,"Managed Hunt","linn","Linn",11910,620,"29115"
"173","Livingston",0,0,0,0,"Managed Hunt","livingston","Livingston",14658,535,"29117"
"174","Macon",8,2,22,32,"Managed Hunt","macon","Macon",15177,804,"29121"
"175","Madison",0,0,0,0,"Managed Hunt","madison","Madison",12852,497,"29123"
"176","Maries",1,0,0,1,"Managed Hunt","maries","Maries",8506,528,"29125"
"177","Marion",0,0,0,0,"Managed Hunt","marion","Marion",28425,438,"29127"
"178","Mcdonald",1,0,0,1,"Managed Hunt","mcdonald","McDonald",24054,540,"29119"
"179","Mercer",0,0,0,0,"Managed Hunt","mercer","Mercer",3452,454,"29129"
"180","Miller",0,0,0,0,"Managed Hunt","miller","Miller",25668,592,"29131"
"181","Mississippi",0,0,0,0,"Managed Hunt","mississippi","Mississippi",11750,413,"29133"
"182","Moniteau",0,0,0,0,"Managed Hunt","moniteau","Moniteau",15294,417,"29135"
"183","Monroe",2,3,11,16,"Managed Hunt","monroe","Monroe",8890,646,"29137"
"184","Montgomery",0,0,0,0,"Managed Hunt","montgomery","Montgomery",11511,539,"29139"
"185","Morgan",0,0,0,0,"Managed Hunt","morgan","Morgan",22399,598,"29141"
"186","New Madrid",0,0,0,0,"Managed Hunt","new madrid","New Madrid",15212,678,"29143"
"187","Newton",14,1,11,26,"Managed Hunt","newton","Newton",61519,626,"29145"
"188","Nodaway",0,0,0,0,"Managed Hunt","nodaway","Nodaway",20503,877,"29147"
"189","Oregon",0,0,1,1,"Managed Hunt","oregon","Oregon",8699,792,"29149"
"190","Osage",0,0,0,0,"Managed Hunt","osage","Osage",13478,606,"29151"
"191","Ozark",14,7,23,44,"Managed Hunt","ozark","Ozark",9090,747,"29153"
"192","Pemiscot",0,0,0,0,"Managed Hunt","pemiscot","Pemiscot",14407,493,"29155"
"193","Perry",0,0,0,0,"Managed Hunt","perry","Perry",19100,475,"29157"
"194","Pettis",0,0,0,0,"Managed Hunt","pettis","Pettis",43791,685,"29159"
"195","Phelps",0,0,0,0,"Managed Hunt","phelps","Phelps",45672,673,"29161"
"196","Pike",5,3,5,13,"Managed Hunt","pike","Pike",17961,673,"29163"
"197","Platte",0,0,1,1,"Managed Hunt","platte","Platte",113207,420,"29165"
"198","Polk",0,0,1,1,"Managed Hunt","polk","Polk",33070,637,"29167"
"199","Pulaski",0,0,0,0,"Managed Hunt","pulaski","Pulaski",53964,547,"29169"
"200","Putnam",0,0,0,0,"Managed Hunt","putnam","Putnam",4539,518,"29171"
"201","Ralls",0,0,1,1,"Managed Hunt","ralls","Ralls",10499,471,"29173"
"202","Randolph",0,0,1,1,"Managed Hunt","randolph","Randolph",24077,482,"29175"
"203","Ray",0,0,0,0,"Managed Hunt","ray","Ray",23199,570,"29177"
"204","Reynolds",0,0,0,0,"Managed Hunt","reynolds","Reynolds",5927,811,"29179"
"205","Ripley",0,0,0,0,"Managed Hunt","ripley","Ripley",10715,630,"29181"
"206","Saint Charles",114,39,122,275,"Managed Hunt","st charles","Saint Charles",423726,561,"29183"
"207","Saint Clair",1,0,0,1,"Managed Hunt","st clair","Saint Clair",9848,677,"29185"
"208","Saint Francois",1,0,8,9,"Managed Hunt","st francois","Saint Francois",67503,450,"29187"
"209","Saint Louis",70,40,173,283,"Managed Hunt","st louis","Saint Louis",992929,508,"29189"
"210","Sainte Genevieve",0,0,1,1,"Managed Hunt","ste genevieve","Sainte Genevieve",18546,502,"29186"
"211","Saline",0,0,0,0,"Managed Hunt","saline","Saline",23325,756,"29195"
"212","Schuyler",1,0,0,1,"Managed Hunt","schuyler","Schuyler",4069,308,"29197"
"213","Scotland",0,0,0,0,"Managed Hunt","scotland","Scotland",4698,438,"29199"
"214","Scott",0,0,0,0,"Managed Hunt","scott","Scott",37957,421,"29201"
"215","Shannon",10,4,17,31,"Managed Hunt","shannon","Shannon",7275,1004,"29203"
"216","Shelby",0,0,0,0,"Managed Hunt","shelby","Shelby",5926,501,"29205"
"217","Stoddard",11,0,8,19,"Managed Hunt","stoddard","Stoddard",28438,827,"29207"
"218","Stone",0,0,0,0,"Managed Hunt","stone","Stone",32630,463,"29209"
"219","Sullivan",1,0,0,1,"Managed Hunt","sullivan","Sullivan",5750,651,"29211"
"220","Taney",0,0,0,0,"Managed Hunt","taney","Taney",56744,632,"29213"
"221","Texas",0,1,2,3,"Managed Hunt","texas","Texas",25715,1179,"29215"
"222","Vernon",0,0,0,0,"Managed Hunt","vernon","Vernon",19787,834,"29217"
"223","Warren",0,0,2,2,"Managed Hunt","warren","Warren",38478,432,"29219"
"224","Washington",0,0,1,1,"Managed Hunt","washington","Washington",23583,760,"29221"
"225","Wayne",12,2,3,17,"Managed Hunt","wayne","Wayne",10820,761,"29223"
"226","Webster",0,0,0,0,"Managed Hunt","webster","Webster",42041,593,"29225"
"227","Worth",0,0,0,0,"Managed Hunt","worth","Worth",1872,266,"29227"
"228","Wright",0,1,0,1,"Managed Hunt","wright","Wright",19505,682,"29229"
"229","Adair",309,33,207,549,"Archery","adair","Adair",25660,568,"29001"
"230","Andrew",108,21,99,228,"Archery","andrew","Andrew",18091,435,"29003"
"231","Atchison",76,7,78,161,"Archery","atchison","Atchison",5139,545,"29005"
"232","Audrain",157,37,164,358,"Archery","audrain","Audrain",24304,693,"29007"
"233","Barry",217,44,219,480,"Archery","barry","Barry",35618,779,"29009"
"234","Barton",143,25,158,326,"Archery","barton","Barton",11717,594,"29011"
"235","Bates",166,30,200,396,"Archery","bates","Bates",16394,848,"29013"
"236","Benton",319,51,425,795,"Archery","benton","Benton",20614,706,"29015"
"237","Bollinger",196,73,325,594,"Archery","bollinger","Bollinger",10610,621,"29017"
"238","Boone",348,58,383,789,"Archery","boone","Boone",192154,685,"29019"
"239","Buchanan",81,10,63,154,"Archery","buchanan","Buchanan",83574,410,"29021"
"240","Butler",216,44,269,529,"Archery","butler","Butler",41814,698,"29023"
"241","Caldwell",159,13,121,293,"Archery","caldwell","Caldwell",9000,429,"29025"
"242","Callaway",376,92,439,907,"Archery","callaway","Callaway",45126,839,"29027"
"243","Camden",359,46,343,748,"Archery","camden","Camden",44135,655,"29029"
"244","Cape Girardeau",168,30,260,458,"Archery","cape girardeau","Cape Girardeau",83658,579,"29031"
"245","Carroll",187,18,166,371,"Archery","carroll","Carroll",8414,695,"29033"
"246","Carter",246,75,424,745,"Archery","carter","Carter",5359,508,"29035"
"247","Cass",257,30,245,532,"Archery","cass","Cass",113873,699,"29037"
"248","Cedar",166,24,181,371,"Archery","cedar","Cedar",15023,476,"29039"
"249","Chariton",141,18,109,268,"Archery","chariton","Chariton",7397,756,"29041"
"250","Christian",226,45,223,494,"Archery","christian","Christian",96045,563,"29043"
"251","Clark",330,18,207,555,"Archery","clark","Clark",6623,507,"29045"
"252","Clay",178,20,151,349,"Archery","clay","Clay",263370,396,"29047"
"253","Clinton",76,7,47,130,"Archery","clinton","Clinton",21721,419,"29049"
"254","Cole",130,26,157,313,"Archery","cole","Cole",77625,392,"29051"
"255","Cooper",157,39,176,372,"Archery","cooper","Cooper",17122,565,"29053"
"256","Crawford",284,52,284,620,"Archery","crawford","Crawford",22808,743,"29055"
"257","Dade",113,21,98,232,"Archery","dade","Dade",7622,490,"29057"
"258","Dallas",236,57,271,564,"Archery","dallas","Dallas",17877,542,"29059"
"259","Daviess",239,40,280,559,"Archery","daviess","Daviess",8541,567,"29061"
"260","Dekalb",82,10,71,163,"Archery","dekalb","DeKalb",9884,424,"29063"
"261","Dent",178,42,257,477,"Archery","dent","Dent",14721,754,"29065"
"262","Douglas",256,50,283,589,"Archery","douglas","Douglas",12290,815,"29067"
"263","Dunklin",46,11,61,118,"Archery","dunklin","Dunklin",27002,546,"29069"
"264","Franklin",508,91,607,1206,"Archery","franklin","Franklin",107256,922,"29071"
"265","Gasconade",259,41,237,537,"Archery","gasconade","Gasconade",14655,520,"29073"
"266","Gentry",138,13,96,247,"Archery","gentry","Gentry",6298,492,"29075"
"267","Greene",372,53,335,760,"Archery","greene","Greene",307942,675,"29077"
"268","Grundy",171,20,112,303,"Archery","grundy","Grundy",9766,436,"29079"
"269","Harrison",393,26,334,753,"Archery","harrison","Harrison",8186,725,"29081"
"270","Henry",246,74,332,652,"Archery","henry","Henry",22575,702,"29083"
"271","Hickory",195,35,204,434,"Archery","hickory","Hickory",8766,399,"29085"
"272","Holt",69,10,95,174,"Archery","holt","Holt",4241,462,"29087"
"273","Howard",147,19,148,314,"Archery","howard","Howard",10150,466,"29089"
"274","Howell",383,69,406,858,"Archery","howell","Howell",40762,928,"29091"
"275","Iron",99,46,151,296,"Archery","iron","Iron",9420,551,"29093"
"276","Jackson",391,55,341,787,"Archery","jackson","Jackson",727362,605,"29095"
"277","Jasper",261,24,221,506,"Archery","jasper","Jasper",126479,640,"29097"
"278","Jefferson",575,115,755,1445,"Archery","jefferson","Jefferson",231888,657,"29099"
"279","Johnson",280,47,270,597,"Archery","johnson","Johnson",55880,831,"29101"
"280","Knox",229,21,197,447,"Archery","knox","Knox",3740,506,"29103"
"281","Laclede",252,49,297,598,"Archery","laclede","Laclede",36738,766,"29105"
"282","Lafayette",116,18,96,230,"Archery","lafayette","Lafayette",33511,629,"29107"
"283","Lawrence",188,26,176,390,"Archery","lawrence","Lawrence",39151,613,"29109"
"284","Lewis",185,37,168,390,"Archery","lewis","Lewis",9852,505,"29111"
"285","Lincoln",287,68,392,747,"Archery","lincoln","Lincoln",65888,630,"29113"
"286","Linn",252,26,222,500,"Archery","linn","Linn",11910,620,"29115"
"287","Livingston",169,15,152,336,"Archery","livingston","Livingston",14658,535,"29117"
"288","Macon",393,59,377,829,"Archery","macon","Macon",15177,804,"29121"
"289","Madison",117,45,188,350,"Archery","madison","Madison",12852,497,"29123"
"290","Maries",166,35,163,364,"Archery","maries","Maries",8506,528,"29125"
"291","Marion",191,36,191,418,"Archery","marion","Marion",28425,438,"29127"
"292","Mcdonald",212,25,129,366,"Archery","mcdonald","McDonald",24054,540,"29119"
"293","Mercer",253,13,147,413,"Archery","mercer","Mercer",3452,454,"29129"
"294","Miller",198,32,202,432,"Archery","miller","Miller",25668,592,"29131"
"295","Mississippi",24,6,24,54,"Archery","mississippi","Mississippi",11750,413,"29133"
"296","Moniteau",103,29,88,220,"Archery","moniteau","Moniteau",15294,417,"29135"
"297","Monroe",230,54,270,554,"Archery","monroe","Monroe",8890,646,"29137"
"298","Montgomery",218,52,240,510,"Archery","montgomery","Montgomery",11511,539,"29139"
"299","Morgan",301,78,382,761,"Archery","morgan","Morgan",22399,598,"29141"
"300","New Madrid",32,5,43,80,"Archery","new madrid","New Madrid",15212,678,"29143"
"301","Newton",345,34,269,648,"Archery","newton","Newton",61519,626,"29145"
"302","Nodaway",161,5,101,267,"Archery","nodaway","Nodaway",20503,877,"29147"
"303","Oregon",275,59,317,651,"Archery","oregon","Oregon",8699,792,"29149"
"304","Osage",249,47,273,569,"Archery","osage","Osage",13478,606,"29151"
"305","Ozark",196,24,190,410,"Archery","ozark","Ozark",9090,747,"29153"
"306","Pemiscot",17,4,21,42,"Archery","pemiscot","Pemiscot",14407,493,"29155"
"307","Perry",87,25,206,318,"Archery","perry","Perry",19100,475,"29157"
"308","Pettis",192,39,280,511,"Archery","pettis","Pettis",43791,685,"29159"
"309","Phelps",234,52,223,509,"Archery","phelps","Phelps",45672,673,"29161"
"310","Pike",322,70,382,774,"Archery","pike","Pike",17961,673,"29163"
"311","Platte",178,22,210,410,"Archery","platte","Platte",113207,420,"29165"
"312","Polk",242,44,257,543,"Archery","polk","Polk",33070,637,"29167"
"313","Pulaski",275,61,317,653,"Archery","pulaski","Pulaski",53964,547,"29169"
"314","Putnam",347,18,235,600,"Archery","putnam","Putnam",4539,518,"29171"
"315","Ralls",197,32,195,424,"Archery","ralls","Ralls",10499,471,"29173"
"316","Randolph",211,33,227,471,"Archery","randolph","Randolph",24077,482,"29175"
"317","Ray",123,14,86,223,"Archery","ray","Ray",23199,570,"29177"
"318","Reynolds",171,56,263,490,"Archery","reynolds","Reynolds",5927,811,"29179"
"319","Ripley",236,45,263,544,"Archery","ripley","Ripley",10715,630,"29181"
"320","Saint Charles",226,39,231,496,"Archery","st charles","Saint Charles",423726,561,"29183"
"321","Saint Clair",262,77,366,705,"Archery","st clair","Saint Clair",9848,677,"29185"
"322","Saint Francois",192,62,297,551,"Archery","st francois","Saint Francois",67503,450,"29187"
"323","Saint Louis",421,71,533,1025,"Archery","st louis","Saint Louis",992929,508,"29189"
